Factor,S_f,ST_f,Interaction
η,8.857898953748885e-5,0.004982166580812852,0.004893587591275363
ϵ,0.09901988066719684,0.10907278756880912,0.010052906901612271
θ,0.5186491283032999,0.5239351844415956,0.005286056138295692
σ,0.37197484301087586,0.37455532183279994,0.0025804788219240815
Sum,0.9897324309709101,1.0125454604240174,0.02281302945310726
1−Sum_S_f,0.010267569029089874,NaN,NaN
SS_total,7.382506156088154e-6,NaN,NaN
n_failed,0.0,NaN,NaN
n_grid,32.0,NaN,NaN
