residuals1961,residuals1962,residuals1963,residuals1964,residuals1965,residuals1966,residuals1967,residuals1968,residuals1969,residuals1970,residuals1971,residuals1972,residuals1973,residuals1974,residuals1975,residuals1976,residuals1977,residuals1978,residuals1979,residuals1980,residuals1981,residuals1982,residuals1983,residuals1984,residuals1985,residuals1986,residuals1987,residuals1988,residuals1989,residuals1990,residuals1991,residuals1992,residuals1993,residuals1994,residuals1995,residuals1996,residuals1997,residuals1998,residuals1999,residuals2000,residuals2001,residuals2002,residuals2003,residuals2004,residuals2005
.1340902,.14384454,-.14198171,-.13751501,-.030201046,.073632464,.026216334,.050259825,-.035929523,.11481313,-.14326203,-.018332625,-.053731106,-.15799016,-.02222185,.0071526961,-.05735825,-.001316729,.00073192728,.080940202,-.14165892,.10729319,.018698808,-.043627992,.088170253,-.015508036,.058569301,-.17057827,-.16476585,-.0066586314,.031472091,-.1106969,-.043670312,-.0087785823,-.063157588,.019473482,.04569805,.14103532,.086609729,.031242695,-.093657129,-.13416851,.021333326,.012544421,-.062815204
-.074982442,-.054358903,-.10897028,-.043484595,-.087140143,-.056487612,-.075707652,-.0051681576,-.10175496,.13476144,-.11480549,-.055442896,.14683969,-.080146253,-.10861166,-.07490354,-.084362552,-.11843325,-.093770236,-.066981561,-.13154526,-.11631834,-.10154939,.13163038,.091346361,-.083282724,.038865913,-.069653176,-.12809777,-.10183263,-.00055161421,-.037170488,-.0089005856,-.028455514,.046018202,-.0069081667,.096999653,-.093709767,.068893678,-.084258206,-.12831528,.11515841,.0065370244,-.068822347,-.063962571
-.092134699,-.025946165,.074281998,.15068345,.082330175,.11863092,-.12432743,.10679162,.052257422,.070836663,.06003261,.078176528,.018585211,.0080556246,-.073158577,-.099125899,.094684191,.074637353,-.078925066,.026453558,-.10633231,.014061672,-.10992457,.041146811,-.0038137168,.075200483,-.045738179,-.017991986,.025220867,.10447258,.065669723,-.075462066,-.078820981,-.0061676237,.019080814,-.088816293,.10868157,.0036184681,.10265899,-.055930346,.063563667,-.082311705,.1086904,-.10463691,-.058710992
4.304172,.10904931,2.1219318,.55844766,2.2767582,1.958497,2.9657471,3.9527006,.38046643,3.5316055,1.1455424,3.4169998,.21602292,3.2386785,4.057457,2.5222189,2.1041045,2.7810628,.86508864,1.9317175,2.3799155,.5159983,.47103694,1.3210087,2.6262751,3.8056569,.34977925,.64395565,2.9548001,3.0237184,.71215343,.98410535,4.2862239,4.1569486,3.9271498,3.6814961,2.2600043,4.4536309,.064697661,1.4920788,4.5434451,1.7127457,2.8735666,4.6099501,1.628976
-.032890324,-.16898105,-.13929084,-.16042997,-.26363531,-.092645817,-.18951021,-.039250094,-.20577139,-.03864523,-.24821062,-.05262401,-.13003525,-.14972742,-.22613728,-.064916804,-.24545531,-.15748148,-.22575654,-.18476315,-.27110389,-.16647011,-.29951733,-.22020172,-.11558283,-.14333269,-.16636103,-.095441043,-.15987436,-.17941666,-.1194626,-.10333642,-.12176791,-.21314487,-.18412149,-.23711839,-.15462609,-.15147115,-.25342265,-.090062067,-.1975783,-.22471997,-.15628743,-.17344628,-.19611703
.016010387,.57601219,.33098841,.2381987,.0056277486,.80573553,.49512389,.21195215,.73860681,-.011258426,-.15373461,.10317476,-.053483743,.43599299,-.086494699,.30270076,.060774196,-.17205098,.52346492,-.088584237,.46443659,.80152178,.76965857,-.059523929,.34637922,.84109306,-.17734708,.16398323,-.14726429,.86546165,-.18606089,.30609056,.88437676,.35134676,-.011591974,-.16198803,.28258887,.79488277,.70351213,-.17636809,-.18159495,.85543132,-.088723555,.66568893,.60500544
.043221477,.15867385,.23552358,.12891111,.25600848,-.020252595,-.07220909,.11781204,.036924515,-.035975385,.37437245,.11606064,.31287435,.31169179,.20849323,.20809871,.18145241,.088597313,.13765538,.091613889,.15758933,.18690254,-.063702568,.29508728,.28050703,-.033564072,.32001337,.35314876,.022723611,.12072259,.18857247,.22427601,.32478213,.069988817,-.072879255,-.05503827,.23659508,-.053478178,-.044018611,.035741415,.060897876,.10291146,-.028273683,.16104725,-.054754075
-.0027522098,.24031217,.15734828,.17495152,.30518979,.34073365,.12582153,.16539988,-.000051523457,.13918221,.23690644,-.064674385,.18123452,-.063594952,.098829724,.023863744,.18338199,.1471909,.13963297,.095819578,.25845978,-.077162087,.28413367,.10291675,.07065513,.27164862,.15849105,.14543189,.0023180812,.1565793,-.0087098209,.22080588,.061958734,.2292283,.18614763,-.049506821,.033956472,.17492957,-.036996882,.39490962,.041270349,.1357695,-.044828255,.016436126,.29136181
1.3647329,-.0061773909,2.0344641,3.2558026,2.7385046,1.3286092,1.3637862,2.0004029,1.8658184,.74921823,2.8720684,.54906547,2.9364526,3.4132149,.61564487,.84904391,1.9368715,2.0485702,3.1179044,2.1410577,.8542881,1.4063361,2.7683401,.96652395,-.080366433,1.7798055,1.1139215,1.5073309,3.6020629,2.4544709,1.0039852,2.5501554,1.4665662,.45650703,1.3370754,1.6966817,2.3901875,.33900085,3.5614705,2.2517407,2.6187932,2.7849996,3.0148985,.52490872,.066690199
.011866924,.029562881,.025824515,-.022796715,.024222797,-.032780211,-.025710599,.0040646689,-.0092782481,-.012296575,-.033556856,.0052743526,.028509295,.022193423,-.0078389226,.052094515,-.0060471175,-.11848221,.00058830244,-.027245279,-.018031288,-.0030660359,-.11104114,.072826937,-.015700508,-.1127573,-.0047137616,.0603774,-.024665494,.051301803,.017715577,.0053577987,.0019732981,-.016144712,-.04249043,.016701784,-.022457685,-.03112242,.044580776,-.041558325,-.0071866843,-.072743542,.002128568,-.025720824,.012583186
.04861534,.04783022,.12761831,.084640846,-.00048049801,.063910678,.14561896,.088162839,.13565449,.071652412,.26631078,.050179508,.12456078,.13941689,.19298917,.038171168,.06182361,.28107265,.04104938,.085842311,.085369967,.06638287,.026897188,.22029543,.30024892,-.058023568,.13310583,.23385599,.31978682,.15305497,.090171032,.30545029,.0357734,.20627885,.10679062,.032370668,.29724672,-.015549804,.24264088,.26503265,.064696513,.0090736719,.04471432,.093207702,.20646627
-.080942191,-.15109795,-.15975472,-.0032651003,.01473767,.017920045,.13812569,-.13817902,-.13535947,.12697698,.10871854,-.050401747,-.086098507,.15847935,-.14220369,-.18883944,.12042805,-.18377036,-.10349106,-.16647545,.12232589,-.17684628,-.036735047,-.18389031,-.14326926,-.17292902,-.018881265,-.20297372,-.17539734,-.17188638,-.21328324,-.10775628,.084411956,-.10415191,-.20198674,-.15896875,-.10352488,-.19617379,-.082007259,-.0028258148,-.10191616,.087333605,-.052162439,-.11963657,-.18195236
.34912023,.1613905,.16498438,.10857561,.19546817,.26970917,.25080699,.24797371,.1682774,.15261354,.27397197,.20158532,.15713559,.17686461,.25811809,.14172904,.23549239,.32396847,.28865227,.058164444,.046531577,.1632206,.12843737,.15120199,-.046372857,.3634063,.069135092,.074004248,.13809916,.060454335,-.011105317,.27404574,.2008798,.34094036,.27443817,.28729311,.11612204,.17160361,.41394457,.34609267,.16213284,-.092101924,.37398231,.19034612,-.046589978
.027724853,.015697895,.30290946,.01060309,-.037871975,.27029279,.015040492,.013157834,.1558224,.26455578,.14877771,.18528175,.1970946,.13271806,.30956393,.034062993,.090442039,.25773636,.17430848,.035373803,.09773653,.12590979,.01714218,.11833343,.020229299,.12528494,.2832846,.091999143,.19191857,.31957784,.12775457,.016228016,.17047746,.001372081,.020783406,.21464136,.1382893,.12730488,-.078668453,.042249229,.1484565,.15018795,.28229594,.032686081,.1404478
.44458929,.11218955,.10011566,.049830776,.69719356,.48037168,.11129238,-.082121663,.1948934,.33392698,.47819072,-.044479042,.63562238,.68061298,.70492762,.65058619,-.095759787,.27923256,.4782998,.69498229,.17750444,.60703439,.34955236,.10226612,.66760075,.091723159,.64873737,-.095958479,.069099002,-.023816805,.090845592,.48633507,.065709211,.066319644,-.071803123,.13559039,-.12193535,.17906232,.59357923,.19418958,.16143705,.54585296,.13740858,.084745556,.10733632
.38986674,-.080936007,.12910968,.3745279,.51737237,-.03673267,-.11804207,.16565016,.63000208,.13792193,.59383482,-.045169208,.175624,.14120522,.39921594,-.090642177,-.050893005,.1138142,.37016654,.30839157,.15492414,.72547412,.4926078,.4778699,.41163638,.42074937,.45900655,.524809,.47122467,.43584278,.39418608,.33100188,.11638143,-.074711926,.48807651,-.12637089,.47312564,-.10832755,.259289,.45504043,.50031722,.45625728,.52545542,-.01168001,.1493852
.17172845,.14124826,.11706396,.13525267,.065559141,-.012871633,.054660086,.043565642,-.013302418,.17911358,.04474074,.17233983,.082618795,.022614261,.043705929,.062416654,-.039859392,.11767709,.094201855,-.0790345,-.048315536,.17688699,.044346455,.08714065,.087078221,.093194693,.15260297,.11935732,.16393389,.051563483,.11849395,.10835952,.028544609,.11051738,.08238443,.066115245,.031065319,.11909111,.052960683,-.0017857881,.16719104,-.00056147896,.18319336,.030245017,.10175128
-.092758499,.19212554,.076835208,-.030291999,.035844792,-.077426322,.19027522,.19533315,-.024257923,-.044709779,.19022584,.0051079215,.066518568,.17519455,.17383403,.11191054,.038556803,.039331164,.020772357,.050604802,.0079524936,.17156522,-.037260383,-.082838215,.05634648,.1770476,-.082869798,.13202512,.026814867,.055617046,.1810452,.18017936,.19325726,.17664377,.043974075,-.10622907,.18351556,.017160546,.018914033,.13026717,-.041557021,.033587184,.053932656,.17955104,-.066471361
-.77475959,-.77857947,-.55219585,-.42919505,-.8265776,-.73486775,-.80993861,-.57771927,-.77655017,-.099831402,-.63671601,-.72240978,-.66010797,-.58870238,-.11663455,-.57285315,-.78837454,-.80199701,-.46968514,-.55756724,-.84292972,-.43926927,-.60912949,-.4730781,-.49882966,-.88633037,-.66426116,-.79816759,-.55473328,-.67226207,-.73500121,-.72431064,-.67618185,-.67562085,-.83761883,-.66359407,-.71667254,-.20799254,-.38159695,-.75756526,-.84283572,-.70021957,-.6296348,-.6643883,-.79024464
