residuals_ind1961,residuals_ind1962,residuals_ind1963,residuals_ind1964,residuals_ind1965,residuals_ind1966,residuals_ind1967,residuals_ind1968,residuals_ind1969,residuals_ind1970,residuals_ind1971,residuals_ind1972,residuals_ind1973,residuals_ind1974,residuals_ind1975,residuals_ind1976,residuals_ind1977,residuals_ind1978,residuals_ind1979,residuals_ind1980,residuals_ind1981,residuals_ind1982,residuals_ind1983,residuals_ind1984,residuals_ind1985,residuals_ind1986,residuals_ind1987,residuals_ind1988,residuals_ind1989,residuals_ind1990,residuals_ind1991,residuals_ind1992,residuals_ind1993,residuals_ind1994,residuals_ind1995,residuals_ind1996,residuals_ind1997,residuals_ind1998,residuals_ind1999,residuals_ind2000,residuals_ind2001,residuals_ind2002,residuals_ind2003,residuals_ind2004,residuals_ind2005
.13882086,.14893164,-.13653816,-.13171503,-.024044618,.080145337,.033085652,.057485592,-.028347312,.12275179,-.13496692,-.0096810795,-.044723116,-.14862572,-.01250097,.017230023,-.046924476,.0094734887,.01187859,.09244331,-.12979937,.11950918,.031271253,-.030699102,.10145558,-.0018662564,.07256753,-.15622361,-.15005474,.0084089292,.046896096,-.094916448,-.027533414,.0077147596,-.046307802,.036679715,.063260727,.15895444,.1048853,.049874708,-.074668668,-.11482359,.041034676,.032602217,-.042400967
-.0096909441,.0097645912,-.046014793,.018302895,-.026520655,.0029638738,-.01742417,.051947322,-.045807485,.18954091,-.06119401,-.0029994217,.19811517,-.030038781,-.059672195,-.027132073,-.037759084,-.072997794,-.049502775,-.023882104,-.089613803,-.075554885,-.061953939,.17005782,.1286058,-.047191277,.073789358,-.035897739,-.095510341,-.070413187,.029699821,-.0080870548,.019014845,-.0017080854,.071597628,.017503258,.12024307,-.071634345,.089801095,-.064518787,-.10974386,.13256182,.022772435,-.053754941,-.050063167
-.1250689,-.057807837,.043492861,.12096684,.053686112,.091059387,-.15082642,.081365161,.02790351,.047555283,.03782377,.057040222,-.001478556,-.010935605,-.091077268,-.11597206,.078910567,.05993627,-.092553608,.013897552,-.11781578,.0036507389,-.11926297,.032880954,-.011007039,.069079697,-.050786428,-.021967696,.022317695,.10264194,.064911619,-.075147629,-.077434011,-.0037081125,.022612862,-.084211707,.11435869,.010368127,.11048119,-.047035612,.073530935,-.071271896,.12080275,-.091452025,-.044453572
2.3798606,-1.8327606,.16262326,-1.4183593,.28245276,-.053307083,.93644452,1.9058993,-1.6838334,1.449807,-.9537546,1.3002043,-1.9182711,1.0868858,1.8881658,.3354291,-.10018376,.55927587,-1.3741968,-.32506648,.10563291,-1.7757828,-1.8382428,-1.0057696,.28199822,1.4438816,-2.0294948,-1.7528168,.54052901,.59194881,-1.7371148,-1.4826614,1.8019587,1.6551847,1.4078872,1.1447351,-.29425517,1.8818728,-2.524559,-1.1146765,1.9191914,-.92900676,.21431576,1.9332007,-1.065272
.10979407,-.025297323,.0053922255,-.014747563,-.11695357,.055035263,-.040829796,.11042966,-.055092294,.11303321,-.095532849,.1010531,.024641201,.0059483638,-.06946215,.092757657,-.086781502,.0021916598,-.065084055,-.023091335,-.10843275,-.0027996206,-.13484749,-.05453255,.051085673,.024335153,.0023061552,.074225478,.010791494,-.0077514523,.053201932,.070327461,.052895308,-.037482318,-.0074595935,-.059457168,.024034487,.028188754,-.072763398,.091596521,-.014920377,-.041062705,.02836916,.012209651,-.0094617493
-.21907184,.3386966,.091439418,-.0035836853,-.23838802,.55948639,.24664137,-.038763773,.48565751,-.26644111,-.41115069,-.15647471,-.3153666,.17187676,-.35284433,.034117751,-.21004219,-.44510075,.24818176,-.36610079,.18468665,.51953846,.48544183,-.34597403,.057695739,.5501762,-.47049731,-.13140041,-.44488129,.56561124,-.48814467,.0017733922,.5778262,.042562835,-.32260931,-.47523874,-.032895237,.47716528,.38356125,-.49855235,-.50601262,.52878028,-.41760796,.33457112,.27165425
-.12863807,-.011045977,.067943491,-.036529262,.092707835,-.1814135,-.23123026,-.039069407,-.11781719,-.18857737,.22391021,-.032261875,.16669156,.16764875,.066589914,.068335116,.043828551,-.04688682,.0043109818,-.039590783,.028524397,.059977327,-.18848805,.17244153,.16000101,-.15193035,.20378682,.23906194,-.089223474,.01091523,.080904841,.11874811,.22139396,-.031259622,-.17198795,-.15200724,.14176585,-.14616768,-.13456839,-.052668635,-.025372442,.018780867,-.11026454,.081196122,-.13246547
-.15113962,.092967704,.011046744,.029692918,.1609741,.19756092,-.016308272,.024313001,-.14009547,.00018119624,.098948367,-.20158952,.045362312,-.19842423,-.03495663,-.10887967,.051681507,.016533341,.010018352,-.032752115,.130931,-.20364791,.15869078,-.021483216,-.052701902,.14933454,.037219886,.025203655,-.11686722,.038436927,-.12580925,.10474937,-.053054839,.11525766,.073219925,-.1613916,-.076885372,.065130658,-.14575286,.28719658,-.065399766,.030142315,-.14941251,-.087105192,.18886341
-.38987598,-1.761447,.27853388,1.4992119,.98125333,-.42930284,-.39478651,.24116957,.10592438,-1.0113363,1.1108532,-1.2128104,1.1739161,1.6500177,-1.1482129,-.91547447,.17169248,.28273034,1.3514041,.37389687,-.91353351,-.3621462,.99919719,-.80327958,-1.8508306,.0086806808,-.65786397,-.26511514,1.8289561,.68070352,-.77044278,.77506679,-.30918306,-1.3199029,-.4399952,-.081049457,.61179578,-1.4400516,1.7817575,.47136691,.83775896,1.0033046,1.232543,-1.2581075,-1.7169868
.012615093,.030636318,.027223222,-.02107274,.026272042,-.030405696,-.023010816,.0070897215,-.0059279259,-.0086209839,-.029555995,.0096004819,.033160694,.02717009,-.0025369856,.057721723,-.000094642201,-.11220447,.0071913162,-.020316996,-.010777735,.0045127855,-.10313705,.081056297,-.0071458784,-.1038774,.0044914056,.069907837,-.014809787,.06148278,.028221821,.016189313,.013130081,-.0046626595,-.03068311,.028834375,-.0099998256,-.018339291,.057689175,-.028124658,.0065722517,-.058659341,.016538043,-.010986079,.027643198
