residuals_ind1961,residuals_ind1962,residuals_ind1963,residuals_ind1964,residuals_ind1965,residuals_ind1966,residuals_ind1967,residuals_ind1968,residuals_ind1969,residuals_ind1970,residuals_ind1971,residuals_ind1972,residuals_ind1973,residuals_ind1974,residuals_ind1975,residuals_ind1976,residuals_ind1977,residuals_ind1978,residuals_ind1979,residuals_ind1980,residuals_ind1981,residuals_ind1982,residuals_ind1983,residuals_ind1984,residuals_ind1985,residuals_ind1986,residuals_ind1987,residuals_ind1988,residuals_ind1989,residuals_ind1990,residuals_ind1991,residuals_ind1992,residuals_ind1993,residuals_ind1994,residuals_ind1995,residuals_ind1996,residuals_ind1997,residuals_ind1998,residuals_ind1999,residuals_ind2000,residuals_ind2001,residuals_ind2002,residuals_ind2003,residuals_ind2004,residuals_ind2005
.0027663398,-.021824352,.0077969604,.010168911,-.00094616861,-.026216693,.040808614,.0022358636,-.017346703,-.00088911422,.040121041,-.064179614,-.10644405,.0016304563,.046879794,.003775331,.020493168,-.025218571,.0058276337,-.027082251,.10699168,-.043610249,-.0039567864,.045123726,.059784897,.013468109,-.01206541,-.079874434,.054397542,.017261608,.002782855,.039757151,-.067535155,.081605993,-.049573082,-.015096594,-.014494469,.033360917,-.017063785,.033260018,-.049181569,.0029685288,-.021557853,-.01214215,.0030319248
.069547564,.028730148,.06331569,-.043476276,.016528549,.00031525799,-.033746392,.0016290259,-.028623734,.02178319,-.010655098,-.0079703657,-.020769427,-.055522311,.017080313,.04735798,-.020855438,-.056893975,.010074233,-.16885014,.051659349,.012176303,.0052657146,.018079685,.062352546,.14889605,.011537845,.010058467,-.10513755,-.0048419801,-.037868086,-.00191595,-.064626731,-.043489411,-.041306362,.063757695,-.082061276,-.068734929,.036259379,.080734625,.010133193,.064311124,.027544128,.0099455714,.0082717929
.045339454,.019414224,-.017571764,-.016506644,.0094360784,.024258224,-.019694094,.0075771715,-.014806666,.015119527,-.02123644,.0096175289,-.098725773,.11338506,.074804127,-.12354545,-.10443661,-.041788056,.013669104,.011769994,-.035131458,.13880371,.072388276,.052638918,.018589903,-.11650617,.026690898,-.032390084,.075681791,.040623091,.007661507,-.085272245,-.034208447,-.10458737,-.030838735,.068137288,-.047528356,-.052360352,.025497925,.0081766099,.054190833,.019422179,.039204463,.025202127,-.020165307
-.0093976781,.00045225568,-.005527338,.015638035,-.020391993,.013379434,-.045576312,.015243728,-.012734173,-.043750823,.0089055728,-.000073417003,.016002394,-.039773464,-.10121804,.018228993,-.016712509,.10440308,.0400743,-.053174637,.037690695,-.064723767,-.18214995,.11625888,.10315737,.056180842,-.0025983951,.0012123319,.047718268,.035757683,.082527757,.047685035,.041099336,-.0046563256,-.067629665,.031331189,.049585216,-.033793967,.00068402407,.042398341,.0019983051,.019822355,-.074075259,-.071379222,-.098098487
.024069224,.0027232184,.0033019271,.024259634,.012230743,.001641664,-.028345507,-.0037947751,.0090427734,.017061366,.016344702,.023585115,.03292552,-.068562284,-.12278964,.038825415,.035907861,.03553924,-.033762179,-.088145554,-.074551575,-.047494605,.070195757,.061444923,.00267335,.015853563,.032997113,.014270857,-.02827183,-.021198604,.0079852091,.0076714405,.013129674,.029108094,-.018386899,.010245331,-.012717552,.020928342,-.032272052,-.008860386,-.02135827,.042732801,.0041290405,.014738983,-.015051166
.023180095,.041361,.048551992,-.10022124,.17403431,.034601711,.024976555,.018137667,-.0014704666,-.043612175,-.086142376,-.021130126,-.017556159,-.17280315,-.058364328,-.011888664,-.027020039,-.078654833,.0011333701,.049791005,.0011689692,-.035915367,-.034637585,.050656792,.0065515474,.04797193,.05105694,.063119717,.024638603,.0086940331,.0093861138,.023041561,.018839279,.029152211,-.016471401,.01669592,.011673404,.016995192,-.0059588272,.031148385,-.032694079,-.0077069937,-.010647375,-.017054107,-.046609007
.0091097783,.013270127,.017505048,.019756548,.017297924,.012005758,.012302746,.016327772,.012381829,.0062116259,.014839787,.021450792,-.0044949665,-.020700809,-.051723644,-.011013825,-.0084980028,-.034102473,-.065654293,-.017792378,-.1613061,-.10780896,-.10612137,.039157417,.017919512,.1476488,.034409888,.086235151,-.028186452,-.023287246,.06259118,.0045956732,.023602091,.047703791,.023100393,-.046684682,.026124395,.066827461,.024092516,.062946536,.064296238,-.029338121,-.033159189,-.036065672,-.1177726
.0079507437,.0092935078,.0060261535,.0028669741,.0034363875,-.012715721,-.0046880487,.020317486,-.032273389,-.013869145,.03086463,.0016533922,-.03233036,-.050705925,.02121146,.038498968,.014212882,-.025933258,-.02331779,-.022797683,.014438081,.0050399089,.054880243,.03597616,.00059635669,.0076717553,-.035500046,-.012544163,.0073607177,-.017337602,-.0090324804,.031815428,-.0036708605,-.0090807537,-.017795898,.0033615401,-.003650737,-.0072292793,-.0045083957,.0094844941,-.0086320974,.010504207,.0058791009,.0068958071,-.0026227504
.025081463,-.006707801,.0080715148,-.0028112605,-.0067211511,-.021026947,.026812695,-.034699261,-.048738845,.080008969,-.035712674,.027357608,-.069671631,-.00096519868,.067901477,-.028999135,-.0061761928,-.052016787,-.018509362,.029815054,.036175556,.01530712,.049117386,.0082743,.01411483,.037056789,.015349126,-.0096511142,-.024394603,-.00089886476,-.015327924,-.022744386,-.0677507,-.006126245,.011123395,-.0002990315,-.020191476,.017242821,-.015359082,.0218252,.0013949604,.036715914,.0041553369,-.030161204,.012759359
.0018143725,.010070555,.020920834,-.0020931172,-.001014166,-.016899245,-.01282654,.0063527636,.0081009511,-.01122289,.025971351,.032350536,.0051991493,-.027692946,-.018603453,.028747184,.038912993,-.0011114089,-.00586724,.0053051952,-.015698589,-.017834308,-.017222045,-.014298826,-.026397839,-.0049121263,.018081238,-.028252551,-.0010512375,-.01374311,-.02205416,.0050658844,-.0018536348,-.024468377,-.0046513844,-.012246795,.016548667,.0016436491,.010462099,.012518029,-.016224176,.038620904,-.0067199455,.023198649,.015075105
.010420271,.010741175,.020040719,.013173875,.015723322,.0033343877,-.018750252,.0080837868,-.0082455678,-.019398361,.0021130173,.035473961,.0076140207,-.0097865546,-.031896308,-.010478075,.00033956196,-.020400966,-.016292358,-.028099274,-.016001664,-.019671785,.010731641,-.0028660812,-.0026841569,.0030383738,.054175097,-.00081076351,.0031071049,-.0033354987,-.02573506,.021166336,-.015523317,-.0010538859,-.0039977203,.0098853325,-.0079937046,-.0099939257,.0037025136,.0096660163,-.0072394703,.015437527,.020216053,.0084953513,-.0064246911
.018699704,.012208235,.014126559,.0048872055,.0082313474,.0088804439,-.015544873,.011300512,-.0044917045,-.036018528,.020886043,.017546635,.029177517,-.065075465,-.03171644,.0075792628,-.0028700586,.008553178,-.02771087,-.015625957,-.018433979,-.034082789,.014760207,.0072914911,.0037234572,.020319898,.033234596,-.032708377,-.020528099,.013818349,.0074891485,.028791726,.011325763,-.010141413,-.045477852,.019469105,-.02654315,.047911346,.037106384,-.0010369858,.0097944159,.024374075,-.0015620835,-.042020887,-.0098970858
.00020884376,.017088003,.00051258574,.0083489018,.01408148,.00170745,.016328514,.019753184,-.015602743,-.017409213,.0090077752,.0044120951,.0070284773,-.031118849,-.033623777,.017572658,.027726844,-.018446779,-.0067812442,-.011491335,-.048481487,.0044251154,-.029369041,.0053201364,-.014852924,.010101775,.037465066,.0077344505,-.015830178,-.021794716,-.016630232,.019389544,-.00099795498,.019380895,.0040800511,-.010490383,.021571089,-.016043443,.018235801,.037686076,-.011727603,.023354648,.012579168,-.043282278,-.001126452
