residuals_fe1961,residuals_fe1962,residuals_fe1963,residuals_fe1964,residuals_fe1965,residuals_fe1966,residuals_fe1967,residuals_fe1968,residuals_fe1969,residuals_fe1970,residuals_fe1971,residuals_fe1972,residuals_fe1973,residuals_fe1974,residuals_fe1975,residuals_fe1976,residuals_fe1977,residuals_fe1978,residuals_fe1979,residuals_fe1980,residuals_fe1981,residuals_fe1982,residuals_fe1983,residuals_fe1984,residuals_fe1985,residuals_fe1986,residuals_fe1987,residuals_fe1988,residuals_fe1989,residuals_fe1990,residuals_fe1991,residuals_fe1992,residuals_fe1993,residuals_fe1994,residuals_fe1995,residuals_fe1996,residuals_fe1997,residuals_fe1998,residuals_fe1999,residuals_fe2000,residuals_fe2001,residuals_fe2002,residuals_fe2003,residuals_fe2004,residuals_fe2005
.12551863,.21474631,-.13469818,-.13417199,-.037335359,.071420558,.05134039,.047512643,.02443877,.11036304,-.13879623,.0020326104,-.040439349,-.1974172,-.018294169,.039141603,-.049027659,-.0060585337,-.0054877759,.09142819,-.10442545,.131822,.044301171,-.0052139629,.10314852,-.015855545,.0867704,-.13282096,-.15709737,-.02738779,.087877087,-.075557865,-.059493266,-.0077725858,-.035700202,.02731864,.029871389,.15097541,.099845268,.055563737,-.11449216,-.14071846,.023172937,.028065654,-.0084128985
-.056531005,.043565877,-.074663758,-.013118569,-.067251444,-.031676508,-.023560591,.019107668,-.014363665,.15733434,-.083316684,-.0080546523,.18715446,-.092550293,-.07766097,-.015891626,-.049008954,-.096152052,-.072966933,-.029470567,-.067288779,-.064766511,-.048924021,.19706741,.13334763,-.056607224,.094090015,-.0048728609,-.09340629,-.09553878,.082876384,.024991551,.0022994673,-.00042651041,.1004986,.027959997,.108196,-.056746665,.10915222,-.032914154,-.1221273,.13563146,.035399642,-.02627811,.01746274
-.12261711,.023044765,.059654675,.13211562,.053285021,.094508171,-.12111422,.082133591,.090714879,.044475723,.042587571,.07663092,.0099661276,-.053282261,-.091141731,-.089047834,.081103936,.047984704,-.1070556,.015030707,-.091009669,.016679656,-.10623305,.05765,-.010746289,.052942131,-.039447922,-.0021455141,.010978511,.061832577,.10016388,-.062233873,-.11655477,-.027072467,.024627365,-.10288198,.070944063,-.008352275,.093983695,-.053520143,.020817798,-.1107725,.088619173,-.11102651,-.026219523
1.9737482,-2.141901,-.19263692,-1.7600615,-.05222813,-.365567,.66901916,1.6281012,-1.8810174,1.2053032,-1.171844,1.1155128,-2.0925374,.87739921,1.7395326,.23235562,-.209417,.45446882,-1.4629831,-.37964663,.095296815,-1.781325,-1.8252128,-.96242946,.31940117,1.4834573,-1.9438717,-1.6401392,.64061642,.68113714,-1.5532937,-1.3026078,1.9485489,1.8361025,1.6327549,1.3674892,-.077674396,2.1417189,-2.2439189,-.80545235,2.200758,-.61565644,.55355418,2.3036194,-.63847381
.1106355,.05401811,.02009007,-.0049895593,-.11867224,.057239667,-.012288772,.11010011,.0066942913,.10900206,-.091647431,.11983862,.035353899,-.037057083,-.070112206,.11916948,-.08502733,-.010125897,-.079878852,-.022177776,-.081773035,.010156098,-.12181758,-.029690303,.051492821,.0084171854,.013937456,.094413653,-.00010849863,-.048048425,.089039773,.083900005,.014506526,-.060041487,-.0045667076,-.077175856,-.018355357,.010566331,-.088089719,.086356364,-.066315942,-.079172537,-.0023504414,-.0058276653,.010382671
-.28935033,.35012484,.041482788,-.05524743,-.29829571,.50673449,.22345881,-.087584175,.502186,-.31249768,-.44605795,-.17324916,-.33698112,.099776804,-.37935618,.037900515,-.22768436,-.47358194,.22045608,-.37488538,.20488091,.52926141,.49847177,-.31789905,.064568333,.5439564,-.44593513,-.095048614,-.43638495,.54794335,-.42644504,.044440448,.57176471,.055563625,-.28092372,-.45093203,-.030026948,.50803369,.4199585,-.44883621,-.49921912,.55209225,-.3836731,.38442102,.3626186
-.10270801,.092217699,.10544918,-.0051037963,.11151624,-.15982242,-.18444295,-.022293067,-.04006511,-.1777834,.24148034,-.00093204231,.18880817,.13490684,.075062998,.10272969,.052425083,-.053502414,-.0059222411,-.035256047,.05746489,.074073441,-.17545813,.19614339,.15812737,-.17126951,.21085656,.25354815,-.10696582,-.03736449,.10761955,.12205712,.17160125,-.066363111,-.18277979,-.18455103,.083410501,-.180896,-.16814099,-.07729546,-.097295068,-.040996421,-.163792,.039210562,-.13770969
-.14933912,.17319861,.026616463,.040279202,.16004013,.20050642,.012930253,.024637358,-.077698566,-.0032832283,.10335691,-.18232448,.056510948,-.24103734,-.035257936,-.082162686,.053697243,.004433753,-.0046020662,-.031707775,.1576779,-.1906486,.1717207,.0033154353,-.052381944,.13328578,.048676811,.045173861,-.12802878,-.0021651988,-.090320162,.11792958,-.091879554,.092218958,.075589687,-.17967699,-.11988553,.046854328,-.16177668,.28121531,-.11758001,-.008795795,-.18100399,-.10605798,.20774877
-.42555404,-1.7169909,.26003218,1.4774303,.94965512,-.45531803,-.3928051,.21594037,.14447129,-1.0369473,1.0948189,-1.2122847,1.1680291,1.5920725,-1.1621429,-.90068251,.16348679,.26211292,1.3299694,.36983049,-.89019376,-.35085046,1.0122271,-.77677733,-1.8471035,-.0022573583,-.63959277,-.23662709,1.828016,.65202641,-.72132516,.80357909,-.33097208,-1.3242023,-.41718259,-.077188455,.59264559,-1.4327744,1.7929908,.49434635,.81624293,.99673426,1.2350229,-1.2412854,-1.6606228
-.0013730001,.095796295,.028439682,-.02412205,.012420131,-.039660469,-.0052548987,-.0033508656,.046421692,-.021415027,-.033759408,.020971235,.037132699,-.021901978,-.0085795941,.079415068,-.0023848827,-.12789237,-.010299754,-.021425644,.014533833,.016794434,-.090107128,.10657261,-.0053905929,-.11777316,.018818982,.093466356,-.021665365,.025904292,.069452219,.035828479,-.018518008,-.019807067,-.019701393,.019878589,-.042952701,-.025850676,.053147964,-.021905636,-.032690063,-.083961852,-.00070017524,-.014867943,.06231714
-.096083738,-.017395519,-.0012256728,-.048143651,-.14374232,-.074428737,.034615509,-.050711855,.059895281,-.068925202,.13464907,-.065582767,.0017250241,-.036137674,.060789347,-.065967441,-.065973312,.14020334,-.10129783,-.039797213,-.013524074,-.045215819,-.083627962,.12258194,.17909966,-.19449858,.02517942,.13548578,.19132778,-.0038017055,.010448512,.20446181,-.11617707,.071157329,-.0018794995,-.095911689,.14529254,-.14173722,.11974891,.15322618,-.092266031,-.1336038,-.089573577,-.027398579,.12474108
-.023873411,-.014555831,-.086830847,.065718271,.073243707,.081348494,.22889009,-.075285852,-.0093508177,.18816723,.17882468,.03560384,-.007166401,.18469265,-.072635658,-.091210186,.19439898,-.12287181,-.044070415,-.090347111,.22519971,-.086677104,.054507669,-.079835929,-.062650643,-.10763618,.074960187,-.099576056,-.1020885,-.12697519,-.091237895,-.0069768983,.13422935,-.037505567,-.108889,-.085483238,-.053711191,-.12059335,-.0031313712,.087135576,-.057110839,.146424,.015317523,-.038474988,-.061909702
.14275967,.034503292,-.025521073,-.085870348,-.009455109,.069708303,.078142069,.047437552,.030856721,-.049625542,.080648802,.024161581,-.027361622,-.060351416,.064256802,-.02407103,.046034012,.1214377,.084643595,-.12913655,-.11402392,-.010039555,-.043749236,-.0081729563,-.22918357,.16526982,-.10045279,-.086027421,-.052021325,-.1580638,-.1524893,.11139579,-.012732127,.14415739,.10410659,.097349286,-.097493596,-.016245276,.22939114,.17262474,-.056491151,-.29644087,.17803295,.0080783768,-.18997665
