1970,1,66658.977,11832.71,14774.618,17719.518,1821.425,198.293,0.003,97.495,0.242,0,0,258.204,134.667,0.581,67.432,34.976,200.258,594.502,26.631,29.198,3.927,166.784,10.456,10.169,78.223,6.954,1.211,2.172,4.061,1.29,1.932,14.088,4582.722,0.03,126.693,32.755,7.396,236.423,5.551,3.466,2261.165,140.911,629.574,190.292,673.088,22.197,1037.907,116.899,82.529,27.199,157.342,5.765,346.52,81.797,145.221,2763.09,292.063,76.678,113.569,268.65,129.642,476.919,0,2751.137,0,29.132,31.308,137.573,6.269,89.662,275.296,6.694,13.443,0,0,0,0,26.517,15.251,35.057,5.766,64.612,0,0,13.44,0,0,0,0,25.668,0,6.076
1971,1,68931.641,14061.31,13685.012,17619.928,1984.755,164.931,0.002,95.17,0.197,0,0,274.091,143.316,0.591,69.806,34.864,190.447,564.051,22.113,28.175,3.779,166.599,9.143,8.941,97.438,5.731,1.049,2.204,3.61,1.249,1.813,14.536,4846.88,0.021,131.231,34.61,7.521,242.488,5.678,3.257,2310.085,144.655,668.387,199.087,716.479,21.732,1181.57,112.888,81.526,27.203,167.753,5.535,386.45,88.492,164.289,2938.124,288.154,75.66,107.273,256.764,144.891,499.869,0,3011.772,0,27.674,30.41,129.174,5.363,103.586,301.14,5.955,12.455,0,0,0,0,27.325,14.579,35.63,4.964,59.444,0,0,14.393,0,0,0,0,28.193,0,6.183
1972,1,84679.086,19724.373,14007.14,22998.939,2473.89,157.813,0.001,105.421,0.2,0,0,314.317,195.427,0.771,86.63,42.55,225.292,705.429,23.364,35.659,4.214,203.311,9.728,10.424,114.729,5.335,1.195,2.435,3.954,1.438,2.04,18.67,5839.095,0.013,160.735,41.864,9.814,289.786,6.662,3.684,2654.181,169.981,759.64,259.611,800.74,22.065,1442.637,128.929,90.369,29.09,200.444,6.463,471.204,104.804,200.766,3538.85,308.457,81.027,111.071,279.456,160.231,584.315,0,3514.601,0,32.338,33.315,146.179,5.437,123.559,359.194,6.171,13.008,0,0,0,0,31.499,15.31,39.858,5.166,65.713,0,0,16.42,0,0,0,0,33.76,0,6.883
1973,1,111995.367,23281.607,14542.027,35827.676,3367.531,197.986,0.001,144.551,0.207,0,0,404.909,280.157,1.051,118.079,61.909,309.916,975.116,29.36,48.183,5.629,288.571,11.859,13.413,161.981,6.655,1.566,2.932,4.957,1.716,2.582,24.888,8489.022,0.005,219.028,57.655,13.209,408.244,8.861,4.589,3549.088,224.13,1137.505,364.542,1061.167,25.7,1929.636,165.559,113.888,36.914,274.66,8.254,656.024,136.187,274.258,4795.37,390.305,102.565,135.53,379.084,171.192,754.314,0,4736.287,0,41.768,43.93,189.158,6.786,163.172,506.167,6.874,15.95,0,0,0,0,42.25,18.505,50.67,6.956,88.441,0,0,20.222,0,0,0,0,45.958,0,8.777
1974,1,115764.914,24232.107,14780.129,34902.926,3624.799,169.517,0,161.278,0.244,0,0,364.122,281.353,1.148,131.215,77.618,354.151,1113.34,27.2,52.887,5.898,323.609,10.855,10.791,157.383,5.245,1.248,3.076,4.731,1.724,2.421,27.42,9498.014,0.003,233.066,56.582,13.58,479.766,8.771,4.206,4305.76,244.232,1780.809,417.771,1129.209,20.671,1856.193,170.646,108.817,36.745,282.875,7.483,743.907,143.888,278.159,5145.129,342.248,90.086,112.95,375.523,139.977,739.247,0,4910.868,0,39.196,40.164,178.634,5.775,165.448,540.55,5.469,12.869,0,0,0,0,39.718,15.098,47.831,5.308,87.834,0,0,19.664,0,0,0,0,47.465,0,8.27
1975,1,114689.195,23789.355,15361.229,33474.742,3809.614,116.567,0,179.362,0.179,0,0,331.314,269.324,0.985,132.719,69.004,341.852,1109.795,17.254,45.159,3.174,306.409,8.354,6.106,145.208,3.611,0.964,2.772,4.024,1.391,1.646,24.952,9288.466,0.002,215.02,51.661,12.434,455.022,8.362,3.498,4358.658,228.311,1935.988,383.277,1075.876,14.921,1772.12,163.644,87.162,29.306,288.57,6.547,847.801,161.337,286.817,5457.223,268.605,70.964,85.4,376.148,136.778,689.968,0,5102.178,0,37.621,36.767,165.072,4.435,178.451,581.798,3.84,9.024,0,0,0,0,34.073,11.068,42.963,3.189,85.611,0,0,18.24,0,0,0,0,49.952,0,7.967
1976,1,118998.688,22458.955,18490.615,34345.34,4407.637,65.475,0,179.946,0.072,0,0,301.998,304.028,0.959,138.444,73.077,348.196,1070.127,9.773,50.627,1.718,328.294,5.493,3.687,166.365,1.904,0.492,2.152,3.06,0.929,1.13,25.884,9383.069,0,229.093,54.559,13.785,499.39,8.409,3.059,4644.137,236.246,2153.82,406.045,1149.104,8.706,1884.556,164.691,74.003,25.563,306.705,6.59,926.268,176.922,309.627,5388.813,154.364,41.051,55.105,343.064,129.634,762.471,0,5394.033,0,37.789,34.557,168.003,2.974,179.526,615.773,1.929,4.967,0,0,0,0,31.127,6.414,37.684,1.891,77.938,0,0,18.331,0,0,0,0,53.023,0,7.506
1977,1,121364.094,22425.531,18418.463,37798.387,4326.362,0,0,166.439,0,0,0,247.437,317.704,0.932,136.45,67.909,338.591,974.705,0.045,49.487,0.075,331.465,2.231,0,164.457,0.023,0,1.636,1.835,0.403,0.263,26.55,9176.485,0,213.657,55.151,13.089,473.227,8.594,2.433,4574.661,230.518,2221.878,435.317,1125.452,0.337,2016.649,145.657,51.103,18.898,298.503,5.569,950,180.894,320.977,5199.582,87.047,23.569,15.585,302.521,97.67,778.141,0,5282.295,0,35.296,30.85,154.285,0.817,188.1,638.346,0.014,0.075,0,0,0,0,25.032,0.732,28.65,0.221,73.337,0,0,16.329,0,0,0,0,52.514,0,16.659
1978,1,150018.734,35813.73,19979.613,45132.016,5005.021,0,0,188.409,0,0,0,306.531,363.075,0.815,156.596,75.183,384.544,1103.221,0.04,57.984,0.084,340.696,1.746,0,172.49,0.032,0,2.095,2.41,0.362,0.313,30.523,10351.462,0,258.911,56.345,15.771,551.753,9.877,2.694,5287.65,254.214,2595.888,478.822,1275.36,0.403,2321.285,178.072,60.876,29.76,345.408,6.366,1131.771,223.016,366.074,5979.446,86.992,23.693,17.319,354.707,128.29,807.133,0,6235.603,0,43.024,33.899,186.06,1.06,228.43,729.69,0.02,0.083,0,0,0,0,27.979,0.733,36.403,0.272,81.289,0,0,17.368,0,0,0,0,58.903,0,21.031
1979,1,178474.469,47020.125,19157.242,52697.047,6686.746,0,0,219.774,0,0,0,384.152,410.455,0.734,176.292,87.447,460.292,1359.898,0.042,71.648,0.068,417.073,2.508,0,173.01,0.041,0,2.728,2.8,0.366,0.375,37.153,11684.775,0,327.905,62.703,18.859,693.284,11.73,3.155,6457.793,282.55,3889.191,559.391,1541.179,0.552,2596.158,220.122,76.544,36.716,416.703,7.692,1431.267,289.524,421.416,7077.05,88.874,24.243,20.412,418.078,158.529,869.578,0,7669.215,0,52.294,37.538,230.109,1.51,288.799,838.552,0.028,0.095,0,0,0,0,31.418,0.748,47.751,0.385,105.213,0,0,19.991,0,0,0,0,70.455,0,26.395
