"Jahr
Gütergruppen, Primärinput, Output";Erz. d. Landwirtschaft, Jagd und Dienstleistungen;Forstwirtschaftl. Erzeugnisse und Dienstleistungen;Fische, Fischerei- und Aquakulturerzeugnisse, DL;Kohle;Erdöl und Erdgas;Erze, Steine und Erden, sonstige Bergbauerz., DL;Nahrungs- u. Futtermittel, Getränke, Tabakerzeugn.;Textilien, Bekleidung, Leder und Lederwaren;Holz,Holz- u.Korkwaren (oh.Möbel),Flecht- u.Korbw.;Papier, Pappe und Waren daraus;Druckereileist., besp. Ton-, Bild- u. Datenträger;Kokerei- und Mineralölerzeugnisse;Chemische Erzeugnisse;Pharmazeutische Erzeugnisse;Gummi- und Kunststoffwaren;Glas und Glaswaren;Keramik, bearbeitete Steine und Erden;Roheisen, Stahl, Erz.d.erst. Bearb.v.Eisen u.Stahl;NE-Metalle und Halbzeug daraus;Gießereierzeugnisse;Metallerzeugnisse;DV-Geräte, elektronische und optische Erzeugnisse;Elektrische Ausrüstungen;Maschinen;Kraftwagen und Kraftwagenteile;Sonstige Fahrzeuge;Möbel und Waren, a.n.g.;Rep., Instandh. u. Inst. v. Maschinen u. Ausrüst.;Elektr.Strom,DL d.Elektriz.-,Wärme-u.Kälteversorg.;Indust.erz.Gase, Dienstleistungen d.Gasversorgung;Wasser, Dienstleistungen der Wasserversorgung;DL d. Abwasser-, Abfallentsorgung u. Rückgewinnung;Hochbauarbeiten;Tiefbauarbeiten;Vorb.Baustellen-,Bauinstallations-,Ausbauarbeiten;Handelsleistungen mit Kfz, Instandh. und Reparatur;Großhandelsleistungen (oh.Handelsleistungen m.Kfz);Einzelhandelsleistungen (ohne Handelsleist.m.Kfz);Landverkehrs- u. Transportleist. in Rohrfernleit.;Schifffahrtsleistungen;Luftfahrtleistungen;Lagereileist.,sonst. Dienstleistungen f.d. Verkehr;Post-, Kurier- und Expressdienstleistungen;Beherbergungs- und Gastronomiedienstleistungen;Dienstleistungen des Verlagswesens;DL v. audiovis.Med., Musikverlag. u.RF-veranstalt.;Telekommunikationsdienstleistungen;IT- und Informationsdienstleistungen;Finanzdienstleistungen;Dienstleistungen v.Versicherungen u.Pensionskassen;Mit Finanz- u.Versicherungs-DL verbundene Dienstl.;Dienstleistungen d. Grundstücks- u. Wohnungswesens;DL der Rechts-, Steuer- und Unternehmensberatung;DL v. Arch.-/Ing.-büros,techn.,phys.,chem.Unters.;Forschungs- und Entwicklungsleistungen;Werbe- und Marktforschungsleistungen;Sonst. freiberufl.,wiss.,techn. u.veterinärmed. DL;Dienstleist. der Vermietung v. beweglichen Sachen;DL d. Vermittlung u. Überlassung v. Arbeitskräften;DL v. Reisebüros, -veranstaltern u. sonst. Reserv.;Wach-, Sicherheits-DL, wirtschaftliche DL a.n.g;DL d. öffentlichen Verwaltung und der Verteidigung;Dienstleistungen der Sozialversicherung;Erziehungs- und Unterrichtsdienstleistungen;Dienstleistungen des Gesundheitswesens;Dienstleistungen von Heimen und des Sozialwesens;Dienstleist. der Kunst, Kultur u. des Glücksspiels;DL des Sports, der Unterhaltung und der Erholung;DL d. Interessenvertr., kirchl. u.sonst. Vereinig.;Reparaturarbeiten an DV-Geräten u. Gebrauchsgütern;Sonstige überwiegend persönliche Dienstleistungen;Waren u.Dienstleistungen privater Haushalte o.a.S.;Input der Produktionsbereiche zusammen;Konsumausgaben der privaten Haushalte im Inland;Konsumausgaben der privaten Organisationen o.E.;Konsumausgaben des Staates;Anlageinvestitionen f.Ausrüstungen u.sonst.Anlagen;Anlageinvestitionen für Bauten;Vorratsveränderungen und Nettozugang an Wertsachen;Exporte;Exporte in die Europäische Union;Exporte in Mitgliedsstaaten der Währungsunion;Exporte in Nichtmitgliedsstaaten der Währungsunion;Exporte in Drittländer;Letzte Verwendung von Gütern zusammen;Gesamte Verwendung von Gütern
  Druckereileist., besp. Ton-, Bild- u. Datenträger;16;3;1;5;2;22;132;89;33;90;1614;15;78;54;46;11;22;33;27;16;86;100;97;172;311;25;154;35;8;27;8;60;10;9;55;198;523;1717;70;3;10;39;300;31;3428;592;381;-;242;42;6;6;609;155;147;200;340;42;137;294;676;446;76;141;61;393;72;13;195;7;21;-;15079;2283;-;-;1;-;-1733;1640;1060;692;368;580;2191;17270
  Kokerei- und Mineralölerzeugnisse;741;104;12;-;4;191;100;12;23;27;11;4630;3284;-;21;10;352;1034;37;49;54;34;55;74;228;35;24;14;589;-;-;256;329;657;989;133;2048;389;1293;120;12;1383;356;155;33;53;45;35;3;1;1;2;145;38;83;26;81;36;6;20;238;440;3;28;155;73;69;41;68;3;151;-;21746;18955;-;198;-;-;292;15563;10349;7159;3190;5214;35008;56754
  Chemische Erzeugnisse;826;7;2;15;-;277;48;609;989;440;198;170;40890;2090;2789;69;555;233;270;339;421;127;85;341;728;180;259;86;3;11;16;169;42;32;1345;201;-;67;13;13;5;-;4;112;36;5;-;-;-;-;-;5;22;3;114;-;12;2;2;-;1002;345;-;30;213;73;16;29;-;21;188;-;57194;5664;-;184;-;-;3158;99743;61029;42449;18580;38714;108749;165943
  Pharmazeutische Erzeugnisse;6;-;-;-;-;-;-;-;-;-;-;-;-;4933;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46;-;8;-;-;-;-;-;-;-;293;255;-;-;-;-;-;-;5545;10972;-;9879;-;-;-38301;51033;24554;19110;5444;26479;33583;39128
  Gummi- und Kunststoffwaren;45;7;-;4;1;4;1226;166;105;331;48;38;596;356;8079;11;47;19;-;-;427;536;1297;4619;9346;226;851;664;1;-;7;146;1119;833;7355;1096;270;534;115;-;6;122;14;45;-;-;40;-;3;-;-;7;-;80;164;40;64;-;-;-;434;105;-;4;185;188;1;-;-;64;8;-;42099;2408;-;-;594;765;-2242;35902;25325;15088;10237;10577;37427;79526
  Glas und Glaswaren;30;-;-;-;-;-;208;-;416;-;-;-;12;173;233;1069;-;3;-;-;331;287;110;61;411;11;121;78;-;-;-;2;4;2;132;63;-;2;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;4;24;3;3;-;-;-;166;10;-;12;24;15;-;3;-;-;-;-;4044;1644;-;-;45;-;-469;5221;3414;2271;1143;1807;6441;10485
  Keramik, bearbeitete Steine und Erden;175;24;-;-;-;-;-;93;9;-;-;4;32;-;-;-;4782;222;15;82;36;46;143;120;93;21;22;98;113;-;25;-;8109;5336;6166;-;-;7;13;3;-;66;10;16;-;-;139;-;-;-;-;13;-;-;12;19;-;14;-;-;169;319;-;1;10;18;23;7;6;-;73;-;26704;2915;-;-;23;3886;-2950;7589;4902;3200;1702;2687;11463;38167
  Roheisen, Stahl, Erz.d.erst. Bearb.v.Eisen u.Stahl;17;2;-;13;5;52;66;-;22;20;-;8;8;6;79;1;15;49202;-;631;5377;100;806;2755;4098;250;50;920;23;98;39;-;325;244;679;20;-;59;85;-;-;25;-;-;-;-;11;-;-;-;-;-;-;14;68;2;7;-;-;-;19;6;-;1;-;-;-;-;-;-;-;-;66228;-;-;-;257;798;-74;24257;17698;11058;6640;6559;25238;91466
  NE-Metalle und Halbzeug daraus;-;-;-;-;-;-;2;2;-;14;7;10;1;10;37;-;-;132;12440;948;2062;621;855;374;1104;148;365;700;10;-;-;-;60;33;122;4;52;-;-;-;-;7;-;-;-;-;1;-;-;-;-;-;-;-;31;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;20166;-;-;-;-;-;443;22321;14877;8719;6158;7444;22764;42930
  Gießereierzeugnisse;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;23;-;1445;1159;170;785;4730;8956;321;51;693;-;4;23;-;-;-;94;457;-;-;15;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;84;-;-;-;-;-;-;10;-;-;-;-;-;-;-;42;-;-;19069;-;-;-;513;101;-675;219;121;95;26;98;158;19227
  Metallerzeugnisse;88;11;8;59;15;110;526;107;74;8;10;193;374;150;652;76;55;294;132;-;24029;1154;2105;12223;14421;4283;1479;3450;11;113;73;575;1368;573;8219;1359;-;118;144;-;-;212;18;18;9;14;30;-;4;-;-;29;-;-;299;29;3;-;-;-;572;172;5;30;32;31;6;-;19;39;1;-;80211;4795;-;-;4437;10822;2385;35296;23418;13961;9457;11878;57735;137946
  DV-Geräte, elektronische und optische Erzeugnisse;-;-;-;-;-;4;38;5;-;8;104;7;27;144;6;-;-;33;-;17;74;2655;1044;303;400;100;956;1084;693;73;33;1;5;-;28;22;42;40;21;10;1;32;42;10;19;241;1203;90;27;1;4;1;35;21;199;12;22;6;-;4;241;277;12;101;155;142;15;12;8;33;13;-;10956;7039;-;359;7615;128;-10816;62867;30270;18878;11392;32597;67192;78148
  Elektrische Ausrüstungen;17;2;-;-;1;8;2;7;-;-;5;7;53;-;15;1;-;82;-;27;139;255;9870;2354;2803;256;344;832;1828;-;18;-;22;18;6006;65;105;38;76;1;1;107;4;337;5;5;89;1;4;-;1;3;-;-;101;13;1;-;-;-;153;35;-;5;7;26;11;1;2;29;81;-;26279;6436;-;-;5270;2301;1347;55163;30864;18075;12789;24299;70517;96796
  Maschinen;505;149;-;3;11;40;714;58;-;13;70;15;133;30;102;34;82;102;-;20;1075;149;451;35843;2525;804;287;1764;23;25;195;3;-;17;2368;211;40;112;14;-;-;14;17;94;4;2;50;-;-;-;-;-;-;-;122;2;6;-;-;-;33;33;-;-;81;22;5;-;-;29;5;-;48506;1606;-;-;38879;1441;2688;153756;76219;45966;30253;77537;198370;246876
  Kraftwagen und Kraftwagenteile;197;4;-;-;-;1;-;-;-;-;-;3;-;-;-;-;-;-;-;-;29;-;27;4368;98671;-;2;92;33;22;22;-;-;-;-;2842;-;-;975;-;-;550;-;-;-;-;-;-;1;-;-;-;-;-;673;-;-;-;-;-;-;60;-;-;-;-;-;1;-;-;-;-;108573;45597;-;-;21092;-;31766;191920;106802;61580;45222;85118;290375;398948
  Sonstige Fahrzeuge;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;-;3;-;-;-;-;-;-;9485;-;2265;3;-;1;1;-;-;-;3;-;1;11;-;343;-;-;-;-;-;-;1;-;-;-;-;-;6;36;-;-;-;-;-;38;2920;-;-;-;-;1;3;-;-;-;-;15128;2374;-;417;8321;71;-9401;33324;21909;16785;5124;11415;35106;50234
  Möbel und Waren, a.n.g.;1;-;-;-;1;-;-;15;4;-;3;-;1;-;-;-;-;2;-;1;7;281;-;-;17;-;1190;14;1;-;-;-;13;2;8;-;3;-;3;-;-;1;-;4;-;-;3;-;1;-;-;1;-;-;54;-;15;-;-;-;1;7;-;34;2082;224;12;1;52;-;-;-;4059;18030;-;780;8829;99;-2696;25358;15690;10982;4708;9668;50400;54459
  Rep., Instandh. u. Inst. v. Maschinen u. Ausrüst.;54;8;1;393;33;113;833;235;320;589;96;140;1677;-;360;168;686;1983;482;558;2422;834;932;4135;5005;491;350;1078;2080;126;61;6;-;4;152;18;5;170;1142;522;688;50;23;41;3;70;632;-;3;-;-;58;-;15;1006;4;158;-;107;-;102;347;1;50;239;221;6;1;-;-;8;-;32095;338;-;-;15642;767;-161;6125;2700;1645;1055;3425;22711;54806
  Elektr.Strom,DL d.Elektriz.-,Wärme-u.Kälteversorg.;797;8;13;150;37;362;1743;322;338;1137;207;1171;2837;53;1595;332;1108;1984;833;643;1514;472;531;1353;1516;124;257;230;24950;833;1040;-;262;-;463;910;2213;4112;2395;-;10;565;507;2219;192;194;797;229;636;147;51;957;424;235;878;63;280;85;31;66;804;1822;24;1031;2117;1070;262;245;215;42;859;-;75902;31983;-;388;-;-;5128;4344;3196;2130;1066;1148;41843;117745
  Indust.erz.Gase, Dienstleistungen d.Gasversorgung;-;-;-;3;-;214;949;95;66;628;84;92;685;20;196;223;303;1235;128;123;405;57;115;92;166;21;58;37;1932;2158;-;7;7;10;80;204;213;503;22;-;-;2;9;248;27;27;20;18;83;50;11;8;89;37;76;20;23;8;5;2;75;318;6;190;198;91;30;6;45;12;1;-;12866;7380;-;-;-;-;-4893;-;-;-;-;-;2487;15353
  Wasser, Dienstleistungen der Wasserversorgung;132;1;1;24;-;48;314;33;8;121;13;15;223;4;51;25;79;91;30;32;135;49;56;127;121;5;25;24;11;-;5;26;24;20;83;50;52;80;41;1;1;37;31;307;26;7;30;18;43;26;1;23;89;34;80;15;25;6;4;2;80;117;32;197;203;115;31;161;27;5;224;-;4177;7106;-;-;-;-;-2;-;-;-;-;-;7104;11281
  DL d. Abwasser-, Abfallentsorgung u. Rückgewinnung;867;16;4;39;-;415;2357;353;307;2920;23;32;1766;5;2292;512;548;1643;1197;710;1202;81;112;203;348;8;199;41;129;9;-;9271;16;21;235;226;356;1180;80;-;-;145;64;1451;85;42;111;116;289;95;12;57;241;95;331;35;66;48;22;-;765;2509;86;248;824;493;105;234;86;29;390;-;38797;13838;-;1044;-;-;138;8697;6915;5699;1216;1782;23717;62514
  Hochbauarbeiten;16;1;1;3;-;4;13;4;2;1;3;2;25;-;3;2;-;3;1;3;8;-;7;29;25;-;1;3;10;28;24;7;2148;1317;854;15;14;40;25;-;-;63;16;6;7;14;49;5;-;-;1;2143;12;3;29;3;9;5;-;1;37;41;5;160;49;34;8;-;11;2;4;-;7359;-;-;-;-;63287;3600;428;279;186;93;149;67315;74674
  Tiefbauarbeiten;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1093;241;-;1392;-;-;-;-;2;-;-;-;-;1348;-;-;-;-;-;-;-;-;-;6615;-;-;43;-;-;-;-;-;-;-;-;-;1087;-;-;-;-;-;-;-;11821;-;-;-;-;36005;-;275;180;120;60;95;36280;48101
  Vorb.Baustellen-,Bauinstallations-,Ausbauarbeiten;793;136;7;126;-;205;1100;232;175;254;265;271;900;111;374;66;306;942;144;179;638;291;362;736;830;45;177;134;2122;299;395;2448;6152;2063;14899;732;1331;2153;975;-;24;2103;801;1800;522;562;1353;456;798;451;23;33819;1707;692;784;324;763;407;413;90;2416;7251;917;2446;2384;1207;627;150;775;29;370;-;109832;5446;-;-;-;115233;-;1333;868;581;287;465;122012;231844
  Handelsleistungen mit Kfz, Instandh. und Reparatur;110;19;-;7;-;77;276;25;96;64;38;28;59;-;-;10;173;35;11;-;138;64;55;1301;21861;790;79;53;81;35;6;432;131;93;499;2552;56;2329;1869;-;2;3097;3893;254;90;44;213;-;93;65;55;21;221;97;573;71;129;837;4;20;196;880;43;152;180;126;77;12;14;13;14;-;44938;28980;-;-;6354;-;-;13650;6392;4213;2179;7258;48984;93922
  Großhandelsleistungen (oh.Handelsleistungen m.Kfz);3189;395;35;65;18;459;10470;1548;1501;1375;809;440;4915;1074;1694;502;2182;2531;715;650;4421;4472;4047;7699;8251;1373;3523;3410;1999;95;173;1492;2229;2092;14669;1477;5004;2599;960;345;32;852;319;5104;525;243;763;375;166;96;73;200;597;574;1124;216;564;94;54;28;2347;3052;115;883;6431;2329;451;130;412;170;745;-;133961;59183;-;3528;13673;-;-;79977;49174;32042;17132;30803;156361;290322
  Einzelhandelsleistungen (ohne Handelsleist.m.Kfz);1648;55;19;23;6;133;5430;512;805;258;218;120;1368;362;709;174;691;238;43;142;1102;3428;1786;1994;2970;2064;1710;1125;608;50;60;119;561;377;3852;583;816;954;304;154;39;183;125;5480;328;85;341;114;85;50;56;129;442;379;468;159;629;61;58;11;1037;1974;71;711;8983;3810;361;98;224;85;437;-;64584;133109;-;7185;3650;-;-;-;-;-;-;-;143944;208528
  Landverkehrs- u. Transportleist. in Rohrfernleit.;119;26;-;20;20;239;2060;138;415;705;50;3986;1413;-;652;50;1642;2311;285;96;373;435;289;881;2791;36;620;169;826;594;25;11;103;93;201;193;13894;2302;6418;-;-;14893;-;7;404;71;13;34;96;25;6;-;21;3;1028;1;36;-;-;5625;152;1855;7;4431;14;-;15;14;760;5;7;-;74004;29562;-;395;-;-;-;4830;3804;2448;1356;1026;34787;108791
  Schifffahrtsleistungen;1;-;2;1;1;30;23;-;-;12;-;44;53;-;15;-;14;43;6;-;4;8;6;-;-;-;8;-;72;-;-;-;-;-;-;-;1042;-;-;106;-;63;-;-;-;-;-;1;-;-;-;-;-;-;5;-;-;-;-;104;-;1;-;-;-;-;-;-;-;-;-;-;1665;3643;-;-;-;-;-7170;26446;6694;4353;2341;19752;22919;24584
  Luftfahrtleistungen;3;1;-;2;2;10;24;9;8;13;4;7;65;7;14;3;6;9;-;1;145;826;230;784;398;131;120;184;-;4;1;6;5;3;12;-;113;42;2;1;1405;8;751;3;35;50;24;30;92;27;2;7;72;62;174;8;32;7;6;3428;38;184;5;5;6;6;26;7;10;3;7;-;9715;5389;-;-;-;-;-;9951;4158;2759;1399;5793;15340;25055
  Lagereileist.,sonst. Dienstleistungen f.d. Verkehr;96;3;10;-;-;75;7110;118;173;25;36;458;387;-;585;31;583;257;112;77;422;706;97;2246;4067;9;220;312;53;55;44;-;136;63;598;56;37641;2019;16094;3310;3635;32854;10429;289;-;5;126;-;13;-;-;10;121;34;835;22;195;196;5;-;94;173;-;-;-;-;-;-;-;26;-;-;127346;4262;-;2659;-;-;-;8936;5241;3468;1773;3695;15857;143203
