"Jahr
Gütergruppen, Primärinput, Output";Erz. d. Landwirtschaft, Jagd und Dienstleistungen;Forstwirtschaftl. Erzeugnisse und Dienstleistungen;Fische, Fischerei- und Aquakulturerzeugnisse, DL;Kohle;Erdöl und Erdgas;Erze, Steine und Erden, sonstige Bergbauerz., DL;Nahrungs- u. Futtermittel, Getränke, Tabakerzeugn.;Textilien, Bekleidung, Leder und Lederwaren;Holz,Holz- u.Korkwaren (oh.Möbel),Flecht- u.Korbw.;Papier, Pappe und Waren daraus;Druckereileist., besp. Ton-, Bild- u. Datenträger;Kokerei- und Mineralölerzeugnisse;Chemische Erzeugnisse;Pharmazeutische Erzeugnisse;Gummi- und Kunststoffwaren;Glas und Glaswaren;Keramik, bearbeitete Steine und Erden;Roheisen, Stahl, Erz.d.erst. Bearb.v.Eisen u.Stahl;NE-Metalle und Halbzeug daraus;Gießereierzeugnisse;Metallerzeugnisse;DV-Geräte, elektronische und optische Erzeugnisse;Elektrische Ausrüstungen;Maschinen;Kraftwagen und Kraftwagenteile;Sonstige Fahrzeuge;Möbel und Waren, a.n.g.;Rep., Instandh. u. Inst. v. Maschinen u. Ausrüst.;Elektr.Strom,DL d.Elektriz.-,Wärme-u.Kälteversorg.;Indust.erz.Gase, Dienstleistungen d.Gasversorgung;Wasser, Dienstleistungen der Wasserversorgung;DL d. Abwasser-, Abfallentsorgung u. Rückgewinnung;Hochbauarbeiten;Tiefbauarbeiten;Vorb.Baustellen-,Bauinstallations-,Ausbauarbeiten;Handelsleistungen mit Kfz, Instandh. und Reparatur;Großhandelsleistungen (oh.Handelsleistungen m.Kfz);Einzelhandelsleistungen (ohne Handelsleist.m.Kfz);Landverkehrs- u. Transportleist. in Rohrfernleit.;Schifffahrtsleistungen;Luftfahrtleistungen;Lagereileist.,sonst. Dienstleistungen f.d. Verkehr;Post-, Kurier- und Expressdienstleistungen;Beherbergungs- und Gastronomiedienstleistungen;Dienstleistungen des Verlagswesens;DL v. audiovis.Med., Musikverlag. u.RF-veranstalt.;Telekommunikationsdienstleistungen;IT- und Informationsdienstleistungen;Finanzdienstleistungen;Dienstleistungen v.Versicherungen u.Pensionskassen;Mit Finanz- u.Versicherungs-DL verbundene Dienstl.;Dienstleistungen d. Grundstücks- u. Wohnungswesens;DL der Rechts-, Steuer- und Unternehmensberatung;DL v. Arch.-/Ing.-büros,techn.,phys.,chem.Unters.;Forschungs- und Entwicklungsleistungen;Werbe- und Marktforschungsleistungen;Sonst. freiberufl.,wiss.,techn. u.veterinärmed. DL;Dienstleist. der Vermietung v. beweglichen Sachen;DL d. Vermittlung u. Überlassung v. Arbeitskräften;DL v. Reisebüros, -veranstaltern u. sonst. Reserv.;Wach-, Sicherheits-DL, wirtschaftliche DL a.n.g;DL d. öffentlichen Verwaltung und der Verteidigung;Dienstleistungen der Sozialversicherung;Erziehungs- und Unterrichtsdienstleistungen;Dienstleistungen des Gesundheitswesens;Dienstleistungen von Heimen und des Sozialwesens;Dienstleist. der Kunst, Kultur u. des Glücksspiels;DL des Sports, der Unterhaltung und der Erholung;DL d. Interessenvertr., kirchl. u.sonst. Vereinig.;Reparaturarbeiten an DV-Geräten u. Gebrauchsgütern;Sonstige überwiegend persönliche Dienstleistungen;Waren u.Dienstleistungen privater Haushalte o.a.S.;Input der Produktionsbereiche zusammen;Konsumausgaben der privaten Haushalte im Inland;Konsumausgaben der privaten Organisationen o.E.;Konsumausgaben des Staates;Anlageinvestitionen f.Ausrüstungen u.sonst.Anlagen;Anlageinvestitionen für Bauten;Vorratsveränderungen und Nettozugang an Wertsachen;Exporte;Exporte in die Europäische Union;Exporte in Mitgliedsstaaten der Währungsunion;Exporte in Nichtmitgliedsstaaten der Währungsunion;Exporte in Drittländer;Letzte Verwendung von Gütern zusammen;Gesamte Verwendung von Gütern
  Post-, Kurier- und Expressdienstleistungen;-;1;-;6;-;91;301;125;-;23;190;63;1388;466;203;4;19;11;13;31;464;1098;1173;2315;1020;6;457;341;290;175;43;-;6;9;135;448;5614;13768;2059;-;126;534;2977;1179;559;196;2518;-;700;657;455;94;813;312;585;222;332;65;1215;119;478;1463;220;12;383;365;401;1;111;31;73;-;49552;2816;-;-;-;-;-;1184;871;521;350;313;4000;53552
  Beherbergungs- und Gastronomiedienstleistungen;-;1;-;-;-;2;-;-;-;-;-;18;246;9;-;-;-;-;-;-;251;-;45;432;19;-;-;51;-;-;-;-;331;212;330;-;1202;293;862;40;652;927;21;65;167;534;138;93;188;25;350;73;160;54;47;39;40;-;4;178;139;900;-;-;109;46;196;578;439;-;69;-;10575;81628;-;-;-;-;-3526;14747;9374;6056;3318;5373;92849;103424
  Dienstleistungen des Verlagswesens;11;5;-;4;-;13;131;26;2;21;34;38;141;75;34;11;19;32;26;9;63;100;91;78;222;12;27;23;38;15;10;163;17;8;107;98;301;1061;142;12;14;58;59;546;1377;83;135;241;218;130;195;302;1107;905;366;382;877;178;192;34;1383;1555;209;945;521;595;753;105;493;14;63;-;17255;9542;-;-;1223;-;-;19315;8000;5108;2892;11315;30080;47335
  DL v. audiovis.Med., Musikverlag. u.RF-veranstalt.;-;-;-;-;-;2;155;-;-;-;-;1;-;-;-;-;-;-;1;-;-;68;-;-;-;76;-;-;17;1;1;-;-;-;-;-;13;111;53;-;-;-;-;383;80;7380;-;104;31;42;1;10;149;51;22;4089;38;9;22;-;68;418;-;45;124;62;250;57;88;-;12;-;14034;8787;-;8225;3884;-;-;2876;1856;1045;811;1020;23772;37806
  Telekommunikationsdienstleistungen;74;12;-;76;15;49;234;14;38;73;47;38;260;30;190;50;141;49;49;56;309;443;317;537;636;122;91;186;84;92;25;186;57;23;390;113;1039;1085;273;14;51;303;1935;1027;2111;1116;16145;851;899;539;244;570;581;546;337;778;500;155;742;1274;443;1294;400;155;258;401;532;154;90;42;312;-;42302;22275;-;-;-;-;-;4234;3091;1543;1548;1143;26509;68811
  IT- und Informationsdienstleistungen;17;2;-;13;15;82;478;100;76;223;241;86;1431;569;332;69;249;285;187;176;1278;999;991;2542;1953;385;290;615;656;69;-;1698;63;34;727;444;4007;2456;1320;-;382;2314;1740;283;3774;918;3946;46693;5485;1676;629;616;2851;1217;2573;909;1002;877;713;532;1459;2510;2575;2121;2042;1029;328;101;166;23;345;-;116987;216;-;-;21137;-;-;18604;10277;6390;3887;8327;39957;156944
  Finanzdienstleistungen;648;52;5;21;16;99;1073;127;175;203;144;279;569;115;392;59;203;221;148;92;734;394;478;1120;1497;205;291;309;467;117;50;334;764;402;2452;1166;2224;2747;905;105;119;871;372;1263;372;216;580;746;19030;1762;1174;22117;1510;855;985;331;777;759;372;184;995;1482;823;369;2368;602;256;133;962;71;791;-;84649;38655;-;-;-;-;-;18591;13335;8869;4466;5256;57246;141895
  Dienstleistungen v.Versicherungen u.Pensionskassen;466;15;1;13;7;112;504;22;159;160;110;75;647;2;286;44;184;63;34;34;148;120;102;325;392;44;140;73;918;178;82;563;165;110;718;328;489;1572;3191;36;87;1516;93;262;125;98;105;82;1050;6259;1719;114;345;147;352;50;93;1336;56;16;350;2028;23;1456;411;309;93;18;261;16;65;-;31567;41577;-;-;-;-;-;9506;4903;3148;1755;4603;51083;82650
  Mit Finanz- u.Versicherungs-DL verbundene Dienstl.;-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;67;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7746;19669;3401;-;-;-;16;-;-;29;-;-;-;5;-;-;-;-;-;-;-;-;-;-;30965;949;-;-;-;-;-;4436;3245;2122;1123;1191;5385;36350
  Dienstleistungen d. Grundstücks- u. Wohnungswesens;407;13;1;6;2;27;2901;283;424;426;460;150;988;-;830;133;607;234;259;123;1753;696;814;2373;2904;308;694;612;1002;161;53;732;12565;4500;6207;5289;9551;20294;670;-;49;1916;626;6715;839;935;5013;223;5746;2539;1148;16792;6926;4580;1410;1056;1313;779;2792;345;4930;5595;769;590;3374;2297;247;326;852;39;778;-;160991;289249;-;590;-;5553;-;1401;954;571;383;447;296793;457784
  DL der Rechts-, Steuer- und Unternehmensberatung;101;4;1;26;55;114;3752;106;178;451;340;929;2173;407;898;291;391;660;169;174;784;788;1741;5395;5012;289;500;920;89;71;8;625;481;263;1472;1512;4921;4908;776;-;22;172;229;384;976;462;647;1597;8109;3981;2183;13454;42718;13122;1548;847;4105;1143;516;484;14317;1898;636;171;1181;801;232;99;418;19;272;-;158518;1492;-;-;-;2309;-;18010;9668;6179;3489;8342;21811;180329
  DL v. Arch.-/Ing.-büros,techn.,phys.,chem.Unters.;273;8;-;32;37;364;741;-;216;333;13;107;1835;578;1252;175;929;335;135;149;1061;1115;1830;1919;1580;762;110;916;1807;364;369;3414;824;458;1654;25;349;479;1866;33;144;1602;59;125;127;27;293;440;574;116;97;1429;1099;2334;980;160;417;509;62;6;815;1471;14;250;157;72;18;24;254;29;40;-;42191;4309;-;-;-;23605;-;11274;5137;3145;1992;6137;39188;81379
  Forschungs- und Entwicklungsleistungen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;875;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;875;-;2192;6714;77649;-;-114;22887;10018;6432;3586;12869;109328;110203
  Werbe- und Marktforschungsleistungen;4;3;1;3;1;96;3335;90;18;74;17;254;1247;663;268;35;104;15;14;16;156;400;252;300;1054;26;424;103;85;40;69;27;1;1;75;1062;1001;1742;165;-;33;27;217;73;616;179;195;-;338;370;10;13;211;91;362;115;39;251;180;178;122;171;87;22;37;29;83;112;9;9;33;-;17453;-;-;-;-;-;7;8305;5025;3873;1152;3280;8312;25765
  Sonst. freiberufl.,wiss.,techn. u.veterinärmed. DL;1081;-;-;8;24;28;352;985;16;73;57;109;599;65;165;22;149;67;15;16;233;395;352;722;1059;62;897;146;223;47;10;274;71;41;110;213;573;592;263;-;7;40;57;208;1668;287;373;-;1994;1377;1135;1031;2664;822;361;318;706;238;105;11;1036;767;136;51;360;203;290;351;139;9;47;-;26905;4939;-;-;61;-;2;2097;1121;722;399;976;7099;34004
  Dienstleist. der Vermietung v. beweglichen Sachen;1736;74;-;10;7;146;1048;41;382;357;623;137;183;-;535;69;587;170;128;119;780;224;239;325;62;22;281;234;1508;259;25;1435;2498;1889;4035;348;4691;3065;1609;516;658;1584;377;1011;557;629;615;849;651;441;809;124;-;6;428;73;-;12658;8;468;1173;919;112;703;913;678;259;307;419;49;519;-;58394;5066;-;-;-;-;-;23194;9286;6470;2816;13908;28260;86654
  DL d. Vermittlung u. Überlassung v. Arbeitskräften;3025;127;3;37;5;112;2194;145;184;203;136;16;707;351;1021;149;379;236;93;329;2237;711;835;3153;3385;1261;567;1398;98;17;-;416;146;117;156;125;501;405;349;409;50;2794;323;376;41;47;225;827;60;28;-;140;444;364;931;60;38;216;190;24;1085;8;-;2;654;306;12;11;7;44;44;-;35089;169;-;-;-;-;-;3065;1384;782;602;1681;3234;38323
  DL v. Reisebüros, -veranstaltern u. sonst. Reserv.;4;1;-;-;-;1;96;2;1;2;2;-;79;26;6;1;4;4;4;2;81;45;56;149;211;28;23;34;64;6;18;5;9;5;26;12;35;34;1306;76;242;-;6;145;3;45;8;84;82;43;19;35;95;10;58;4;4;11;5;87;14;175;4;57;26;11;144;479;5;-;6;-;4365;29928;-;-;-;-;-;1486;872;539;333;614;31414;35779
  Wach-, Sicherheits-DL, wirtschaftliche DL a.n.g;281;56;2;30;22;387;2692;341;236;505;293;420;2655;387;685;126;509;414;220;196;833;1039;1050;2767;3410;458;600;631;1746;107;13;1371;644;370;3204;1151;9161;6258;1447;-;110;1613;837;1585;2977;1684;1243;425;5938;2504;1472;3793;3479;1931;1445;490;1210;1701;330;420;4669;6666;800;1569;4220;2118;688;360;270;31;1595;-;104890;10827;-;-;-;7601;-;7943;4689;3138;1551;3254;26371;131261
  DL d. öffentlichen Verwaltung und der Verteidigung;286;85;3;-;23;364;1317;134;169;247;138;188;886;229;444;75;423;252;71;127;453;356;482;520;968;88;224;174;8668;290;165;632;1621;951;1631;272;577;848;528;21;38;341;103;600;138;184;168;482;399;154;28;2216;3283;1583;480;579;997;344;168;16;1804;3276;708;340;541;276;121;74;570;10;61;-;45012;12209;-;190751;-;2548;-;4644;3825;1200;2625;819;210152;255164
  Dienstleistungen der Sozialversicherung;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;3211;-;-;-;-;-;-;-;-;-;-;3224;-;-;32938;-;-;-;-;-;-;-;-;32938;36162
  Erziehungs- und Unterrichtsdienstleistungen;22;-;-;-;-;1;168;-;-;-;-;43;212;47;6;-;-;-;-;-;138;78;255;313;1322;89;19;78;41;-;-;26;-;-;15;3;-;40;110;-;58;13;124;-;110;74;241;902;1242;175;58;871;29;46;2315;19;75;1;-;-;184;3554;533;13883;233;430;77;68;306;4;1;-;28652;19606;8037;123720;-;-;-1000;265;148;117;31;117;150628;179280
  Dienstleistungen des Gesundheitswesens;23;-;-;-;-;-;16;-;-;-;-;2;36;-;15;-;-;16;-;-;1;21;14;10;59;-;-;3;-;-;23;-;-;-;-;-;18;97;-;-;-;-;-;87;-;-;-;-;-;14;-;-;6;3;343;-;121;-;-;-;33;303;36;448;9034;3087;-;259;-;-;-;-;14128;51316;387;169192;-;-;-;86;26;18;8;60;220981;235109
  Dienstleistungen von Heimen und des Sozialwesens;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;873;-;-;-;-;-;-;873;27330;12085;65345;-;-;200;-;-;-;-;-;104960;105833
  Dienstleist. der Kunst, Kultur u. des Glücksspiels;-;-;-;-;-;-;-;-;-;-;20;1;6;-;1;-;-;-;-;-;1;2;-;4;5;1;1;2;7;-;-;-;-;-;1;1;4;7;-;-;1;1;-;58;1459;1414;16;-;22;8;2;1;27;4;23;2;4;-;1;5;10;323;-;49;2;-;1460;490;129;1;-;-;5576;16859;270;9926;951;-;296;594;157;77;80;437;28896;34472
  DL des Sports, der Unterhaltung und der Erholung;-;-;-;-;-;-;193;-;-;-;-;-;11;9;-;-;-;1;-;-;-;-;-;14;57;-;-;-;-;-;9;-;-;-;-;4;-;8;-;-;-;-;17;-;-;-;97;-;537;106;-;-;-;-;109;-;-;-;-;-;4;5124;9;1030;83;-;-;5014;769;-;-;-;13205;8715;1982;5559;-;-;-;248;42;30;12;206;16504;29709
  DL d. Interessenvertr., kirchl. u.sonst. Vereinig.;70;6;3;35;2;40;282;51;17;46;57;76;139;22;61;19;31;47;20;29;86;100;80;98;121;17;40;25;126;30;1;165;137;89;559;211;317;1332;159;1;4;367;-;82;116;49;5;71;307;115;23;13;677;292;110;56;107;40;33;45;205;135;69;59;461;86;84;9;10;5;176;-;8558;2752;24284;7687;-;-;-;191;134;84;50;57;34914;43472
  Reparaturarbeiten an DV-Geräten u. Gebrauchsgütern;-;-;-;-;-;-;60;23;23;21;20;18;58;13;19;20;24;17;22;5;18;100;62;61;65;20;25;-;-;47;24;-;20;24;22;-;18;264;47;23;60;22;-;137;32;26;37;66;78;62;44;17;80;62;49;27;51;24;-;52;41;54;20;112;56;30;-;-;3;-;-;-;2425;1526;-;-;-;-;-;395;167;101;66;228;1921;4346
  Sonstige überwiegend persönliche Dienstleistungen;12;1;-;8;3;17;121;6;3;11;15;4;38;-;16;1;10;17;2;11;19;46;37;46;22;-;19;11;21;19;-;143;6;2;26;20;95;174;17;1;1;19;4;515;11;39;87;98;95;44;7;54;847;183;71;62;77;66;37;36;9;53;4;24;591;412;263;213;3;3;5862;-;10810;43362;-;-;-;-;-;-;-;-;-;-;43362;54172
  Waren u.Dienstleistungen privater Haushalte o.a.S.;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7347;-;-;-;-;-;-;-;-;-;-;7347;7347
  Gesamte Verwendung der inländischen Produktion;29487;2457;202;1451;537;7545;116342;10868;16059;23205;8021;15077;86253;14558;28906;4977;21835;67927;18539;8532;60655;28098;38264;116030;220260;26047;21208;26669;60238;7223;3295;28728;45007;25193;97366;26557;114376;86349;51307;6093;9198;75913;27945;45390;24180;18995;39322;56397;64223;43912;15523;108008;75134;32239;27093;12048;16605;23268;8622;14213;49428;74490;9603;36096;57970;28286;9155;10578;9942;1143;15627;-;2612287;1316795;49237;648260;240444;280975;-29801;1277574;737200;471587;265613;540374;3783484;6395771
  Verwendung der Importe;4688;464;93;272;120;1674;33919;4925;2868;10419;2714;38788;43282;11304;24653;1514;4124;13262;19818;4461;20926;16023;20158;41280;73312;10773;10316;8764;17030;1443;336;5683;3284;2721;24386;6885;13185;9110;3876;13259;8804;15592;3641;6795;3810;2558;2717;9542;5594;7632;1147;3124;7948;3746;5237;1420;1708;1718;1002;13677;6330;8540;711;2696;9077;4472;1715;540;1035;337;1391;-;670368;165719;-;13759;115569;10706;58342;292574;162967;96480;66487;129607;656669;1327037
  Gütersteuern abzüglich Gütersubventionen;1254;76;12;6;6;264;1334;163;91;203;81;447;946;152;324;12;44;66;70;116;219;635;341;969;987;185;209;178;431;111;155;1666;535;191;1285;322;2345;1224;2687;11;141;2809;1187;1094;74;42;158;107;5702;2902;1116;4922;697;135;2458;23;164;220;32;457;470;12002;1324;3230;7993;4145;1392;976;1326;15;285;-;77951;184914;-;8347;7669;53814;-;-;-;-;-;-;254744;332695
  Verwendung von Gütern zu Anschaffungspreisen;35429;2997;307;1729;663;9483;151595;15956;19018;33827;10816;54312;130481;26014;53883;6503;26003;81255;38427;13109;81800;44756;58763;158279;294559;37005;31733;35611;77699;8777;3786;36077;48826;28105;123037;33764;129906;96683;57870;19363;18143;94314;32773;53279;28064;21595;42197;66046;75519;54446;17786;116054;83779;36120;34788;13491;18477;25206;9656;28347;56228;95032;11638;42022;75040;36903;12262;12094;12303;1495;17303;-;3360606;1667428;49237;670366;363682;345495;28541;1570148;900167;568067;332100;669981;4694897;8055503
  Arbeitnehmerentgelt im Inland;6178;1102;84;2025;458;3021;32515;4896;4888;6410;4241;1456;20000;2948;18284;2360;8043;6411;3418;5059;41732;16000;25901;62932;49521;9105;16856;17540;13304;3221;2403;10847;14163;12009;59809;32616;98248;82112;28960;756;5059;32933;17806;34932;10519;8145;7994;60153;43618;12152;14198;17247;73516;33340;62343;8327;5990;6298;28764;3038;47524;124783;23269;106557;113061;69833;9288;9041;29237;2172;10905;7347;1771221;x;x;x;x;x;x;x;x;x;x;x;x;x
  Bruttolöhne und -gehälter;5239;884;72;1251;340;2334;27534;4182;4163;5349;3599;1176;16009;2405;15365;1980;6727;5312;2851;4201;35535;13167;21324;53348;40598;7371;14386;14865;10466;2555;1930;8945;11842;10062;50418;27851;83461;69966;24135;634;4348;26424;14561;29924;8898;6289;6295;50526;35778;9561;11771;14162;59512;28519;50957;7144;5126;5274;24429;2608;40331;92740;17677;82572;95759;58324;7450;7357;23695;1696;9283;7171;1459993;x;x;x;x;x;x;x;x;x;x;x;x;x
  Sonst.Produktionsabgaben abzgl. sonst.Subventionen;-5550;-56;-13;-1141;19;16;-73;14;8;38;-2;97;210;36;31;15;92;-213;4;-;68;38;70;85;164;23;32;14;-1623;-2;-82;-277;20;-98;120;176;1059;491;-882;18;43;-131;79;-26;76;-26;22;301;3339;121;31;8233;490;123;-2788;43;51;177;7;-200;28;89;22;-1959;-2567;-717;228;-199;-106;7;-67;-;-2330;x;x;x;x;x;x;x;x;x;x;x;x;x
  Abschreibungen;10175;453;97;500;339;1174;5518;883;829;1560;1215;789;6838;4409;2933;810;1160;1918;537;734;5199;10008;4561;9659;31224;1941;2264;1759;8698;2827;4139;11393;1211;1367;3800;5059;10498;8622;8300;4620;1421;16086;1836;3892;2009;4416;10179;10670;5946;1982;464;181802;3661;3058;12788;504;402;56132;290;266;2932;35260;1233;25410;21868;11223;4730;5525;2057;244;1555;-;609861;x;x;x;x;x;x;x;x;x;x;x;x;x
  Nettobetriebsüberschuss;7342;2218;16;-188;-4;476;4320;776;751;2353;1000;100;8414;5721;4395;797;2869;2095;544;325;9147;7346;7501;15921;23480;2160;3574;-118;19667;530;1035;4474;10454;6718;45078;22307;50611;20620;14543;-173;389;1;1058;11347;6667;3676;8419;19774;13473;13949;3871;134448;18883;8738;3072;3400;9084;-1159;-394;4328;24549;-;-;7250;27707;-11409;7964;3248;-19;428;24476;-;656413;x;x;x;x;x;x;x;x;x;x;x;x;x
  Bruttowertschöpfung;18145;3717;184;1196;812;4687;42280;6569;6476;10361;6454;2442;35462;13114;25643;3982;12164;10211;4503;6118;56146;33392;38033;88597;104389;13229;22726;19195;40046;6576;7495;26437;25848;19996;108807;60158;160416;111845;50921;5221;6912;48889;20779;50145;19271;16211;26614;90898;66376;28204;18564;341730;96550;45259;75415;12274;15527;61448;28667;7432;75033;160132;24524;137258;160069;68930;22210;17615;31169;2851;36869;7347;3035165;x;x;x;x;x;x;x;x;x;x;x;x;x
  Produktionswert;53574;6714;491;2925;1475;14170;193875;22525;25494;44188;17270;56754;165943;39128;79526;10485;38167;91466;42930;19227;137946;78148;96796;246876;398948;50234;54459;54806;117745;15353;11281;62514;74674;48101;231844;93922;290322;208528;108791;24584;25055;143203;53552;103424;47335;37806;68811;156944;141895;82650;36350;457784;180329;81379;110203;25765;34004;86654;38323;35779;131261;255164;36162;179280;235109;105833;34472;29709;43472;4346;54172;7347;6395771;x;x;x;x;x;x;x;x;x;x;x;x;x
  Produktionswert: firmenint. Lieferungen u. Leist.;6367;-;-;1352;-;6975;6436;1022;1445;5665;-;4722;36580;2666;1104;118;975;40418;6080;4581;-;13;245;6;27720;-;-;-;4007;126;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;158623;x;x;x;x;x;x;x;x;x;x;x;x;x
