sector,gross_output_basic,gross_value_added,wage,other_production_tax,depreciation,net_operating_surplus,factor_share,wage_share_gross_output,imported_intermediate,import_share,domar_lambda,final_demand_domestic_basic
"DL d. Abwasser-, Abfallentsorgung u. Rückgewinnung",62514.0,26437.0,10847.0,-277.0,11393.0,4474.0,0.4228972710112935,0.17351313305819496,5683.0,0.09090763668938158,0.020646551410950065,17846.297475947642
Hochbauarbeiten,74674.0,25848.0,14163.0,20.0,1211.0,10454.0,0.34614457508637547,0.1896644079599325,3284.0,0.04397782360661007,0.02466264484853449,49084.45614018157
Tiefbauarbeiten,48101.0,19996.0,12009.0,-98.0,1367.0,6718.0,0.4157086131265462,0.24966216918567183,2721.0,0.056568470509968605,0.015886357766550036,27949.231858869003
"Vorb.Baustellen-,Bauinstallations-,Ausbauarbeiten",231844.0,108807.0,59809.0,120.0,3800.0,45078.0,0.46931126102034126,0.2579708769689964,24386.0,0.10518279532789289,0.076571313070997,93787.61367673389
"Handelsleistungen mit Kfz, Instandh. und Reparatur",93922.0,60158.0,32616.0,176.0,5059.0,22307.0,0.6405102106002853,0.34726688102893893,6885.0,0.07330550882647303,0.031019698013552994,34841.32549306933
Großhandelsleistungen (oh.Handelsleistungen m.Kfz),290322.0,160416.0,98248.0,1059.0,10498.0,50611.0,0.5525451050902102,0.33841045459868696,13185.0,0.04541509083018166,0.09588489136401197,115069.8283174577
Einzelhandelsleistungen (ohne Handelsleist.m.Kfz),208528.0,111845.0,82112.0,491.0,8622.0,20620.0,0.5363548300468043,0.3937696616281746,9110.0,0.04368717870022251,0.06887071812110239,106185.39284476287
Landverkehrs- u. Transportleist. in Rohrfernleit.,108791.0,50921.0,28960.0,-882.0,8300.0,14543.0,0.4680626154737065,0.266198490683972,3876.0,0.035627947164747084,0.03593049516186244,25751.55982307652
Schifffahrtsleistungen,24584.0,5221.0,756.0,18.0,4620.0,-173.0,0.212373901724699,0.030751708428246014,13259.0,0.5393345265213146,0.008119378377432197,23057.176253032674
Luftfahrtleistungen,25055.0,6912.0,5059.0,43.0,1421.0,389.0,0.2758730792257035,0.20191578527240073,8804.0,0.35138694871283177,0.008274935943970212,11618.125374372048
"Lagereileist.,sonst. Dienstleistungen f.d. Verkehr",143203.0,48889.0,32933.0,-131.0,16086.0,1.0,0.3413964791240407,0.22997423238339978,15592.0,0.1088804005502678,0.04729577537355283,12578.673299980674
"Post-, Kurier- und Expressdienstleistungen",53552.0,20779.0,17806.0,79.0,1836.0,1058.0,0.388015386913654,0.332499253062444,3641.0,0.06798999103674933,0.01768666412578299,2974.8102902262817
Beherbergungs- und Gastronomiedienstleistungen,103424.0,50145.0,34932.0,-26.0,3892.0,11347.0,0.48484877784653463,0.3377552599009901,6795.0,0.0657004176980198,0.03415793155334964,71140.1656857118
Dienstleistungen des Verlagswesens,47335.0,19271.0,10519.0,76.0,2009.0,6667.0,0.40711946762437945,0.22222456955740996,3810.0,0.08049012358719763,0.01563337030164957,22474.80319608587
"DL v. audiovis.Med., Musikverlag. u.RF-veranstalt.",37806.0,16211.0,8145.0,-26.0,4416.0,3676.0,0.4287943712638206,0.21544199333439137,2558.0,0.06766121779611702,0.012486219449121446,18489.269808686437
Telekommunikationsdienstleistungen,68811.0,26614.0,7994.0,22.0,10179.0,8419.0,0.3867695571928907,0.11617328624783828,2717.0,0.03948496606647193,0.022726266902436013,19574.769710301032
IT- und Informationsdienstleistungen,156944.0,90898.0,60153.0,301.0,10670.0,19774.0,0.5791747374859822,0.3832768375981242,9542.0,0.06079875624426547,0.05183402701219162,24805.075066276004
Finanzdienstleistungen,141895.0,66376.0,43618.0,3339.0,5946.0,13473.0,0.46778251524014236,0.3073963141759752,5594.0,0.039423517389619085,0.046863781112338986,42637.8103630989
Dienstleistungen v.Versicherungen u.Pensionskassen,82650.0,28204.0,12152.0,121.0,1982.0,13949.0,0.3412462189957653,0.14702964307320024,7632.0,0.09234119782214156,0.02729688508358164,37772.914656604546
Mit Finanz- u.Versicherungs-DL verbundene Dienstl.,36350.0,18564.0,14198.0,31.0,464.0,3871.0,0.5107015130674003,0.3905914718019257,1147.0,0.03155433287482806,0.012005345103305417,4115.007568054085
Dienstleistungen d. Grundstücks- u. Wohnungswesens,457784.0,341730.0,17247.0,8233.0,181802.0,134448.0,0.7464874263844957,0.037674973349876795,3124.0,0.006824179088827919,0.15119270709137736,217724.24094160064
"DL der Rechts-, Steuer- und Unternehmensberatung",180329.0,96550.0,73516.0,490.0,3661.0,18883.0,0.5354102778809842,0.40767707911650375,7948.0,0.044074996256841664,0.059557410650177785,16756.84678090609
"DL v. Arch.-/Ing.-büros,techn.,phys.,chem.Unters.",81379.0,45259.0,33340.0,123.0,3058.0,8738.0,0.5561508497278168,0.4096880030474693,3746.0,0.04603153147617936,0.026877110843518334,30031.9499703405
Forschungs- und Entwicklungsleistungen,110203.0,75415.0,62343.0,-2788.0,12788.0,3072.0,0.684328012849015,0.56571055234431,5237.0,0.04752139233959148,0.03639683759063458,64173.267762751086
Werbe- und Marktforschungsleistungen,25765.0,12274.0,8327.0,43.0,504.0,3400.0,0.4763826896953231,0.32319037453910343,1420.0,0.055113526101300214,0.008509428241723908,6403.092893249236
"Sonst. freiberufl.,wiss.,techn. u.veterinärmed. DL",34004.0,15527.0,5990.0,51.0,402.0,9084.0,0.45662275026467475,0.1761557463827785,1708.0,0.05022938477826138,0.0112305297081925,5262.982182086066
