sector,private_consumption,private_orgs_consumption,government_consumption,equipment_investment,construction_investment,inventories,exports
Mit Finanz- u.Versicherungs-DL verbundene Dienstl.,694.8847415093994,0.0,0.0,0.0,0.0,0.0,3420.1228265446853
Dienstleistungen d. Grundstücks- u. Wohnungswesens,211796.32939605086,0.0,569.8806960170302,0.0,4277.870326541507,0.0,1080.1605229912318
"DL der Rechts-, Steuer- und Unternehmensberatung",1092.484756935747,0.0,0.0,0.0,1778.7867070024024,0.0,13885.575316967941
"DL v. Arch.-/Ing.-büros,techn.,phys.,chem.Unters.",3155.1721297829313,0.0,0.0,0.0,18184.6081501913,0.0,8692.169690366272
Forschungs- und Entwicklungsleistungen,0.0,2192.0,6485.049140776849,37850.51277636373,0.0,-0.0,17645.705845610508
Werbe- und Marktforschungsleistungen,0.0,0.0,0.0,0.0,0.0,0.0,6403.092893249236
"Sonst. freiberufl.,wiss.,techn. u.veterinärmed. DL",3616.476015084219,0.0,0.0,29.7348488629369,0.0,0.0,1616.7713181389101
Dienstleist. der Vermietung v. beweglichen Sachen,3709.4690205338434,0.0,0.0,0.0,0.0,0.0,17882.400549792026
DL d. Vermittlung u. Überlassung v. Arbeitskräften,123.74659780304373,0.0,0.0,0.0,0.0,0.0,2363.0920792063707
"DL v. Reisebüros, -veranstaltern u. sonst. Reserv.",21914.131236979247,0.0,0.0,0.0,0.0,0.0,1145.6948873411638
"Wach-, Sicherheits-DL, wirtschaftliche DL a.n.g",7927.836771677837,0.0,0.0,0.0,5855.590194857194,0.0,6123.993600370703
DL d. öffentlichen Verwaltung und der Verteidigung,8939.776405783201,0.0,184246.29262024496,0.0,1962.9053830411958,0.0,3580.4892710715776
Dienstleistungen der Sozialversicherung,0.0,0.0,31814.79722950668,0.0,0.0,0.0,0.0
Erziehungs- und Unterrichtsdienstleistungen,14356.069801931806,8037.0,119501.08425631691,0.0,0.0,-0.0,204.31301826743498
Dienstleistungen des Gesundheitswesens,37575.032028763264,387.0,163422.46562798877,0.0,0.0,0.0,66.30535687169589
Dienstleistungen von Heimen und des Sozialwesens,20011.801881403462,12085.0,63116.70183259803,0.0,0.0,0.0,0.0
"Dienstleist. der Kunst, Kultur u. des Glücksspiels",12344.63841634032,270.0,9587.518285872953,463.57116833857367,0.0,0.0,457.96955792776
"DL des Sports, der Unterhaltung und der Erholung",6381.370413334474,1982.0,5369.4352358621545,0.0,0.0,0.0,191.2061453974486
"DL d. Interessenvertr., kirchl. u.sonst. Vereinig.",2015.0925275383215,24284.0,7424.869339462562,0.0,0.0,0.0,147.259571656906
Reparaturarbeiten an DV-Geräten u. Gebrauchsgütern,1117.380522174229,0.0,0.0,0.0,0.0,0.0,304.54204609674275
Sonstige überwiegend persönliche Dienstleistungen,31750.887419737173,0.0,0.0,0.0,0.0,0.0,0.0
